Nothing,OMAZ,DMAZ,BIKE_LOGSUM,BIKE_TIME
996407,2049,7702,-3.648,13.466
996408,1938,11143,-0.328,6.808
996413,2225,2241,-5.392,11.768
996417,1953,10673,-0.271,5.443
996419,1938,11138,-4.128,9.32
996427,1953,10672,-0.359,6.212
996430,1938,11137,-4.64,13.162
996435,2251,1437,-5.325,10.991
996438,1938,11140,-3.019,8.513
996443,2184,3514,-0.709,5.61
996444,2189,3359,-1.943,10.687
996449,1953,10675,-1.612,7.767
996451,2250,1467,-5.087,11.342
996455,1953,10674,-0.472,6.629
996456,1938,11139,-2.186,9.163
996458,2253,1369,-0.058,1.702
996459,2177,3725,-5.967,13.68
996463,1938,11134,-1.087,12.557
996468,1953,10669,-0.321,5.979
996470,2177,3724,-5.226,12.307
996471,2217,2484,-1.166,6.635
996479,1953,10668,0.045,5.989
996486,1938,11136,-3.363,10.02
996491,1953,10671,-0.665,6.843
996495,1953,10670,0.047,4.232
996501,2225,2238,-4.924,10.316
996502,1938,11135,-3.009,12.572
996503,2279,564,-1.121,12.706
996515,2184,3504,-0.341,4.871
996518,2294,94,-1.642,10.681
996521,1953,10665,0.467,3.216
996522,2279,559,0.051,5.953
996524,2251,1426,-1.295,7.519
